Country;Location;EventDate;EventName;OfficialEventName
Argentina;Buenos Aires;1980-01-13 00:00:00;Argentine Grand Prix;
Brazil;São Paulo;1980-01-27 00:00:00;Brazilian Grand Prix;
South Africa;Midrand;1980-03-01 00:00:00;South African Grand Prix;
USA;California;1980-03-30 00:00:00;United States Grand Prix West;
Belgium;Heusden-Zolder;1980-05-04 00:00:00;Belgian Grand Prix;
Monaco;Monte-Carlo;1980-05-18 00:00:00;Monaco Grand Prix;
France;Le Castellet;1980-06-29 00:00:00;French Grand Prix;
UK;Kent;1980-07-13 00:00:00;British Grand Prix;
Germany;Hockenheim;1980-08-10 00:00:00;German Grand Prix;
Austria;Spielberg;1980-08-17 00:00:00;Austrian Grand Prix;
Netherlands;Zandvoort;1980-08-31 00:00:00;Dutch Grand Prix;
Italy;Imola;1980-09-14 00:00:00;Italian Grand Prix;
Canada;Montreal;1980-09-28 00:00:00;Canadian Grand Prix;
USA;New York State;1980-10-05 00:00:00;United States Grand Prix;
USA;California;1981-03-15 00:00:00;United States Grand Prix West;
Brazil;Rio de Janeiro;1981-03-29 00:00:00;Brazilian Grand Prix;
Argentina;Buenos Aires;1981-04-12 00:00:00;Argentine Grand Prix;
Italy;Imola;1981-05-03 00:00:00;San Marino Grand Prix;
Belgium;Heusden-Zolder;1981-05-17 00:00:00;Belgian Grand Prix;
Monaco;Monte-Carlo;1981-05-31 00:00:00;Monaco Grand Prix;
Spain;Madrid;1981-06-21 00:00:00;Spanish Grand Prix;
France;Dijon;1981-07-05 00:00:00;French Grand Prix;
UK;Silverstone;1981-07-18 00:00:00;British Grand Prix;
Germany;Hockenheim;1981-08-02 00:00:00;German Grand Prix;
Austria;Spielberg;1981-08-16 00:00:00;Austrian Grand Prix;
Netherlands;Zandvoort;1981-08-30 00:00:00;Dutch Grand Prix;
Italy;Monza;1981-09-13 00:00:00;Italian Grand Prix;
Canada;Montreal;1981-09-27 00:00:00;Canadian Grand Prix;
USA;Nevada;1981-10-17 00:00:00;Caesars Palace Grand Prix;
South Africa;Midrand;1982-01-23 00:00:00;South African Grand Prix;
Brazil;Rio de Janeiro;1982-03-21 00:00:00;Brazilian Grand Prix;
USA;California;1982-04-04 00:00:00;United States Grand Prix West;
Italy;Imola;1982-04-25 00:00:00;San Marino Grand Prix;
Belgium;Heusden-Zolder;1982-05-09 00:00:00;Belgian Grand Prix;
Monaco;Monte-Carlo;1982-05-23 00:00:00;Monaco Grand Prix;
USA;Detroit;1982-06-06 00:00:00;Detroit Grand Prix;
Canada;Montreal;1982-06-13 00:00:00;Canadian Grand Prix;
Netherlands;Zandvoort;1982-07-03 00:00:00;Dutch Grand Prix;
UK;Kent;1982-07-18 00:00:00;British Grand Prix;
France;Le Castellet;1982-07-25 00:00:00;French Grand Prix;
Germany;Hockenheim;1982-08-08 00:00:00;German Grand Prix;
Austria;Spielberg;1982-08-15 00:00:00;Austrian Grand Prix;
France;Dijon;1982-08-29 00:00:00;Swiss Grand Prix;
Italy;Monza;1982-09-12 00:00:00;Italian Grand Prix;
USA;Nevada;1982-09-25 00:00:00;Caesars Palace Grand Prix;
Brazil;Rio de Janeiro;1983-03-13 00:00:00;Brazilian Grand Prix;
USA;California;1983-03-27 00:00:00;United States Grand Prix West;
France;Le Castellet;1983-04-17 00:00:00;French Grand Prix;
Italy;Imola;1983-05-01 00:00:00;San Marino Grand Prix;
Monaco;Monte-Carlo;1983-05-15 00:00:00;Monaco Grand Prix;
Belgium;Spa;1983-05-22 00:00:00;Belgian Grand Prix;
USA;Detroit;1983-06-05 00:00:00;Detroit Grand Prix;
Canada;Montreal;1983-06-12 00:00:00;Canadian Grand Prix;
UK;Silverstone;1983-07-16 00:00:00;British Grand Prix;
Germany;Hockenheim;1983-08-07 00:00:00;German Grand Prix;
Austria;Spielberg;1983-08-14 00:00:00;Austrian Grand Prix;
Netherlands;Zandvoort;1983-08-28 00:00:00;Dutch Grand Prix;
Italy;Monza;1983-09-11 00:00:00;Italian Grand Prix;
UK;Kent;1983-09-25 00:00:00;European Grand Prix;
South Africa;Midrand;1983-10-15 00:00:00;South African Grand Prix;
Brazil;Rio de Janeiro;1984-03-25 00:00:00;Brazilian Grand Prix;
South Africa;Midrand;1984-04-07 00:00:00;South African Grand Prix;
Belgium;Heusden-Zolder;1984-04-29 00:00:00;Belgian Grand Prix;
Italy;Imola;1984-05-06 00:00:00;San Marino Grand Prix;
